dte_dateof,amt_price,houseno,houseunit,stdir,stname,sttype,stsuffix,heatedarea,yearbuilt,fullbaths,halfbaths,bedrooms,actype,vacantorim,totalac,siding,area,geometry
2020-05-12,625000,2307,NA,NA,BEAUCATCHER,LN,NA,3790,1996,3,0,5,AC-CENTRAL,IMP,0,"ALUM,VINYL",03104,"list(list(c(450428.8226292, 450418.611829199, 450402.061129202, 450389.777729198, 450401.664929201, 450416.234329202, 450418.185129199, 450428.8226292, 148983.305759404, 148980.410159403, 148976.264859403, 149018.327359407, 149021.832559405, 149026.191159405, 149026.648359406, 148983.305759404)))"
2022-06-16,575000,15206,NA,NA,AULLCIN,CT,NA,3074,2018,3,1,4,AC-CENTRAL,IMP,0.192,HARDIPLANK,03108,"list(list(c(425201.971029202, 425202.099429202, 425203.933929198, 425163.0032292, 425161.046029201, 425201.971029202, 148432.268359402, 148431.053759405, 148413.470759407, 148409.200059405, 148427.998059403, 148432.268359402)))"
2017-04-20,405000,1638,NA,NA,CHATHAM,AV,NA,1332,1949,2,0,2,AC-CENTRAL,IMP,0,"ALUM,VINYL",03101,"list(list(c(445684.601029199, 445601.420929198, 445600.476229199, 445683.534429202, 445683.900229199, 445684.601029199, 164675.507959403, 164671.697959402, 164688.462059405, 164693.034059404, 164687.059959404, 164675.507959403)))"
2022-06-01,325000,5630,NA,NA,GREY DOGWOOD,CT,NA,1552,2007,2,1,4,AC-CENTRAL,IMP,0.138,"ALUM,VINYL",03102,"list(list(c(444625.260529202, 444611.011129199, 444624.574729202, 444638.860729202, 444625.260529202, 173910.521359405, 173916.370559405, 173950.279559401, 173944.582859405, 173910.521359405)))"
2022-06-01,325000,5630,NA,NA,GREY DOGWOOD,CT,NA,1552,2007,2,1,4,AC-CENTRAL,IMP,0.138,"ALUM,VINYL",03102,"list(list(c(444625.260529202, 444611.011129199, 444624.574729202, 444638.860729202, 444625.260529202, 173910.521359405, 173916.370559405, 173950.279559401, 173944.582859405, 173910.521359405)))"
2012-02-28,615000,4208,NA,NA,BLACK SYCAMORE,DR,NA,3741,1989,3,2,4,AC-CENTRAL,IMP,0,FACE BRICK,03104,"list(list(c(443463.641104194, 443463.031502976, 443411.825000562, 443428.070873052, 443470.560078033, 443473.120403151, 443473.547124007, 443474.217685348, 443474.857766627, 443475.436887786, 443475.924568761, 443476.351289615, 443476.656090225, 443476.899930712, 443476.991370893, 443477.052331017, 443476.991370893, 443476.899930712, 443474.461525835, 443463.641104194, 152887.893072696, 152886.6433902, 152912.764802445, 152945.927108767, 152924.83490658, 152923.493783904, 152923.21946335, 152922.640342191, 
152922.000260912, 152921.268739449, 152920.506737924, 152919.683776284, 152918.830334571, 152917.946412804, 152917.032010978, 152916.117609152, 152915.20320732, 152914.410725732, 152909.533915978, 152887.893072696)))"
2010-12-28,341500,5005,NA,NA,KING ARTHUR,DR,NA,3384,2000,3,1,4,AC-CENTRAL,IMP,0,"ALUM,VINYL",03104,"list(list(c(446037.895612704, 445997.320555552, 445995.680728275, 446036.335033581, 446037.895612704, 146780.667266245, 146777.951492817, 146804.652026216, 146807.453143819, 146780.667266245)))"
2014-12-24,22500,2147,NA,NA,PURSER,DR,NA,744,1955,1,0,2,AC-NONE,IMP,0,Other,03103,"list(list(c(448390.691142293, 448381.507499928, 448377.697492308, 448363.1432632, 448383.107703129, 448401.852940618, 448397.509531932, 448390.691142293, 166756.604274121, 166734.35382962, 166735.896120704, 166741.897644709, 166791.369831653, 166783.655328223, 166773.176283266, 166756.604274121)))"
2020-07-13,165000,1616,NA,NA,CRANDON,DR,NA,1268,2003,2,0,3,AC-CENTRAL,IMP,0.134,"ALUM,VINYL",03102,"list(list(c(438596.0759292, 438584.798229201, 438560.4142292, 438571.6918292, 438596.0759292, 173047.877759404, 173037.401759404, 173063.404259405, 173073.807159407, 173047.877759404)))"
2021-07-30,330000,309,NA,NA,SOUTHLAND,RD,NA,1568,1989,2,0,3,AC-CENTRAL,IMP,0,MASONITE,03106,"list(list(c(442174.243029198, 442176.452829198, 442176.605229198, 442123.228529198, 442120.902929199, 442120.674329201, 442174.243029198, 187024.320759405, 186998.068259404, 186994.831259408, 186989.783759403, 187016.758659404, 187019.520159405, 187024.320759405)))"
2015-12-18,119000,4930,NA,NA,BUTTERWICK,LN,NA,1352,1986,2,0,3,AC-CENTRAL,IMP,0,MASONITE,03103,"list(c(451445.850908613, 451457.189491291, 451434.116085143, 451433.018802946, 451422.472701855, 451411.865640643, 451405.220987354, 451383.001022912, 451383.061983035, 451383.275343463, 451382.909582731, 451382.117101143, 451381.537979988, 451412.749562408, 451419.302775514, 451419.912376733, 451430.54991801, 451441.797060507, 451443.321063555, 451445.850908613, 164180.542297994, 164143.844304601, 164144.850146613, 164144.911106736, 164145.36830765, 164145.825508561, 164146.130309174, 164147.105671121, 
164147.654312222, 164153.597924109, 164159.572016055, 164165.485147882, 164167.984512882, 164174.080525075, 164175.360687633, 164175.482607876, 164177.555252021, 164179.74981641, 164180.05461702, 164180.542297994))"
2017-05-31,815000,209,NA,NA,MIDDLETON,DR,NA,2152,1941,2,0,3,AC-NONE,IMP,0,FACE BRICK,03101,"list(list(c(443597.966529202, 443580.105429198, 443588.2131292, 443603.727429201, 443605.434129199, 443597.966529202, 162103.447859404, 162106.313159406, 162148.832659402, 162146.760259399, 162146.546659404, 162103.447859404)))"
2018-05-10,230000,7509,NA,NA,KINSMORE,LN,NA,2046,1989,2,1,4,AC-CENTRAL,IMP,0,MASONITE,03106,"list(list(c(446074.867829201, 446058.804829199, 446038.2308292, 446029.604929201, 446026.588429199, 446024.097129198, 446022.181229202, 446020.879229199, 446020.217129198, 446071.5150292, 446074.867829201, 178136.904959408, 178123.371759405, 178106.028659402, 178116.300459404, 178119.800959403, 178123.692859401, 178127.897959406, 178132.331659404, 178136.904959406, 178140.836859403, 178136.904959408)))"
2010-04-22,439000,5426,NA,NA,OPEN BOOK,LN,NA,3460,2009,3,1,4,AC-CENTRAL,IMP,0.197,FACE BRICK,03104,"list(list(c(449561.506483924, 449522.071381056, 449518.453397818, 449516.81357054, 449556.553474018, 449558.763278438, 449558.991878895, 449559.220479352, 449559.485655884, 449559.75388042, 449560.058681029, 449560.363481639, 449560.668282247, 449560.973082857, 449561.314459541, 449561.506483924, 148304.450857817, 148291.451111813, 148305.395739702, 148311.662440234, 148321.748292411, 148312.756674427, 148311.860560635, 148310.985782883, 148310.10795713, 148309.23317938, 148308.367545646, 148307.498863911, 
148306.642374194, 148305.785884482, 148304.938538787, 148304.450857817)))"
2017-06-16,240000,13739,NA,NA,BONNERBY,CT,NA,2100,2011,2,1,3,AC-CENTRAL,IMP,0.07,"ALUM,VINYL",03106,"list(list(c(442577.000529202, 442573.566021809, 442570.218729199, 442563.8544292, 442559.587229199, 442568.4264292, 442573.074729199, 442577.000529202, 184264.332959402, 184262.915721907, 184261.303259401, 184273.361159406, 184293.630459402, 184295.669559405, 184273.760459403, 184264.332959402)))"
2021-08-18,341000,12627,NA,NA,HEADQUARTERS FARM,RD,NA,2248,1989,2,1,4,AC-CENTRAL,IMP,0,FACE BRICK,03107,"list(list(c(453907.420529201, 453907.329129202, 453860.999429202, 453865.480029199, 453911.2305292, 453907.420529201, 178135.106659403, 178133.491159402, 178137.9412594, 178169.640559402, 178164.062659407, 178135.106659403)))"
2011-02-04,590000,17516,NA,NA,COTTON BAKER,CT,NA,3475,2010,4,0,4,AC-CENTRAL,IMP,0.257,HARDIPLANK,03106,"list(list(c(438331.210319331, 438328.538559108, 438326.274652583, 438324.462612956, 438323.137675185, 438273.904939602, 438292.751706177, 438306.350964494, 438331.210319331, 190636.596074985, 190633.857441507, 190630.773255581, 190627.40347148, 190623.814261421, 190638.641469954, 190647.671950015, 190664.60895789, 190636.596074985)))"
2020-12-15,350000,13422,NA,NA,CENTENNIAL COMMONS,PY,NA,2435,2006,2,0,3,AC-CENTRAL,IMP,0.204,"ALUM,VINYL",03106,"list(list(c(443997.697829198, 443984.631029198, 443959.180129199, 443963.863229199, 443968.782729201, 443973.9233292, 443975.100329202, 443976.361229201, 443977.6731292, 443979.001429199, 443980.311529201, 443981.5688292, 443982.740529201, 443983.7959292, 443984.7072292, 443988.096729202, 443991.174529201, 443993.927429201, 443996.0976292, 443997.356429201, 443997.697829198, 186705.654159402, 186691.861959405, 186718.361359402, 186722.717859404, 186726.805359404, 186730.611259403, 186731.227159402, 
186731.644959405, 186731.853859403, 186731.848159403, 186731.628259404, 186731.199759402, 186730.573959403, 186729.767259404, 186728.800759401, 186724.187259403, 186719.360359404, 186714.340959405, 186709.311759406, 186705.864459405, 186705.654159402)))"
