cosponsor,sponsor,bill
"Rep. Curtis, John R. [R-UT]","Rep. Buck, Ken [R-CO]",HR 4553
"Rep. Crow, Jason [D-CO]","Rep. Buck, Ken [R-CO]",HR 4553
"Rep. Schweikert, David [R-AZ]","Rep. Buck, Ken [R-CO]",HR 4553
"Rep. Newhouse, Dan [R-WA]","Rep. Buck, Ken [R-CO]",HR 4553
"Rep. Cheney, Liz [R-WY]","Rep. Buck, Ken [R-CO]",HR 4553
"Rep. Joyce, John [R-PA]","Rep. Butterfield, G. K. [D-NC]",HR 4554
"Rep. Bilirakis, Gus M. [R-FL]","Rep. Cárdenas, Tony [D-CA]",HR 4555
"Rep. Levin, Mike [D-CA]","Rep. Casten, Sean [D-IL]",HR 4556
"Rep. Huffman, Jared [D-CA]","Rep. Casten, Sean [D-IL]",HR 4556
"Rep. Bonamici, Suzanne [D-OR]","Rep. Casten, Sean [D-IL]",HR 4556
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Cohen, Steve [D-TN]",HR 4557
"Rep. Curtis, John R. [R-UT]","Rep. Cohen, Steve [D-TN]",HR 4557
"Rep. Phillips, Dean [D-MN]","Rep. Cohen, Steve [D-TN]",HR 4557
"Rep. Crenshaw, Dan [R-TX]","Rep. Cohen, Steve [D-TN]",HR 4557
"Rep. Carson, Andre [D-IN]","Rep. Cohen, Steve [D-TN]",HR 4557
"Rep. Porter, Katie [D-CA]","Rep. Cohen, Steve [D-TN]",HR 4557
"Rep. Kaptur, Marcy [D-OH]","Rep. Cohen, Steve [D-TN]",HR 4557
"Rep. Salazar, Maria Elvira [R-FL]","Rep. Delgado, Antonio [D-NY]",HR 4558
"Rep. Kahele, Kaiali'i [D-HI]","Rep. Escobar, Veronica [D-TX]",HR 4559
"Rep. Brownley, Julia [D-CA]","Rep. Carbajal, Salud O. [D-CA]",HR 456
"Rep. Panetta, Jimmy [D-CA]","Rep. Carbajal, Salud O. [D-CA]",HR 456
"Rep. Kim, Andy [D-NJ]","Rep. Gallagher, Mike [R-WI]",HR 4560
"Rep. McClain, Lisa C. [R-MI]","Rep. Gallagher, Mike [R-WI]",HR 4560
"Rep. Murphy, Stephanie N. [D-FL]","Rep. Gallagher, Mike [R-WI]",HR 4560
"Rep. Buck, Ken [R-CO]","Rep. Gooden, Lance [R-TX]",HR 4562
"Rep. Steube, W. Gregory [R-FL]","Rep. Gooden, Lance [R-TX]",HR 4562
"Rep. Gaetz, Matt [R-FL]","Rep. Gooden, Lance [R-TX]",HR 4562
"Rep. Van Drew, Jefferson [R-NJ]","Rep. Gooden, Lance [R-TX]",HR 4562
"Rep. Fallon, Pat [R-TX]","Rep. Gooden, Lance [R-TX]",HR 4562
"Rep. Herrell, Yvette [R-NM]","Rep. Gooden, Lance [R-TX]",HR 4562
"Rep. Trone, David J. [D-MD]","Rep. Joyce, David P. [R-OH]",HR 4565
"Rep. Delgado, Antonio [D-NY]","Rep. Katko, John [R-NY]",HR 4566
"Rep. Gallagher, Mike [R-WI]","Rep. Kildee, Daniel T. [D-MI]",HR 4567
"Rep. Kind, Ron [D-WI]","Rep. Kildee, Daniel T. [D-MI]",HR 4567
"Rep. Delgado, Antonio [D-NY]","Rep. Kildee, Daniel T. [D-MI]",HR 4567
"Rep. Slotkin, Elissa [D-MI]","Rep. Kildee, Daniel T. [D-MI]",HR 4567
"Rep. Westerman, Bruce [R-AR]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. LaMalfa, Doug [R-CA]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. Newhouse, Dan [R-WA]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. Bentz, Cliff [R-OR]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. Obernolte, Jay [R-CA]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. Rosendale Sr., Matthew M. [R-MT]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. Boebert, Lauren [R-CO]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. Tiffany, Thomas P. [R-WI]","Rep. McClintock, Tom [R-CA]",HR 4569
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Barragan, Nanette Diaz [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Soto, Darren [D-FL]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Garcia, Sylvia R. [D-TX]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Garcia, Jesus G. ""Chuy"" [D-IL]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Roybal-Allard, Lucille [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Vargas, Juan [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Aguilar, Pete [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Trahan, Lori [D-MA]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Escobar, Veronica [D-TX]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Gallego, Ruben [D-AZ]","Rep. Castro, Joaquin [D-TX]",HR 457
"Rep. Brownley, Julia [D-CA]","Rep. Miller-Meeks, Mariannette [R-IA]",HR 4571
"Rep. Westerman, Bruce [R-AR]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Bentz, Cliff [R-OR]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Obernolte, Jay [R-CA]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Rosendale Sr., Matthew M. [R-MT]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Cheney, Liz [R-WY]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Valadao, David G. [R-CA]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Tiffany, Thomas P. [R-WI]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Cole, Tom [R-OK]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Boebert, Lauren [R-CO]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Calvert, Ken [R-CA]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Stauber, Pete [R-MN]","Rep. Newhouse, Dan [R-WA]",HR 4573
"Rep. Westerman, Bruce [R-AR]","Rep. Obernolte, Jay [R-CA]",HR 4574
"Rep. Newhouse, Dan [R-WA]","Rep. Obernolte, Jay [R-CA]",HR 4574
"Rep. LaMalfa, Doug [R-CA]","Rep. Obernolte, Jay [R-CA]",HR 4574
"Rep. Bentz, Cliff [R-OR]","Rep. Obernolte, Jay [R-CA]",HR 4574
"Rep. Rosendale Sr., Matthew M. [R-MT]","Rep. Obernolte, Jay [R-CA]",HR 4574
"Rep. Tiffany, Thomas P. [R-WI]","Rep. Obernolte, Jay [R-CA]",HR 4574
"Rep. Boebert, Lauren [R-CO]","Rep. Obernolte, Jay [R-CA]",HR 4574
"Rep. Allred, Colin Z. [D-TX]","Rep. Peters, Scott H. [D-CA]",HR 4575
"Rep. Mann, Tracey [R-KS]","Rep. Peters, Scott H. [D-CA]",HR 4575
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Pressley, Ayanna [D-MA]",HR 4576
"Rep. Bush, Cori [D-MO]","Rep. Pressley, Ayanna [D-MA]",HR 4576
"Rep. Bowman, Jamaal [D-NY]","Rep. Pressley, Ayanna [D-MA]",HR 4576
"Rep. Schakowsky, Janice D. [D-IL]","Rep. Pressley, Ayanna [D-MA]",HR 4576
"Rep. Ocasio-Cortez, Alexandria [D-NY]","Rep. Pressley, Ayanna [D-MA]",HR 4576
"Rep. Lee, Barbara [D-CA]","Rep. Pressley, Ayanna [D-MA]",HR 4576
"Rep. Garcia, Jesus G. ""Chuy"" [D-IL]","Rep. Quigley, Mike [D-IL]",HR 4577
"Rep. Westerman, Bruce [R-AR]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. Newhouse, Dan [R-WA]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. Bentz, Cliff [R-OR]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. LaMalfa, Doug [R-CA]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. Cole, Tom [R-OK]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. Boebert, Lauren [R-CO]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. Tiffany, Thomas P. [R-WI]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. Obernolte, Jay [R-CA]","Rep. Rosendale Sr., Matthew M. [R-MT]",HR 4579
"Rep. Espaillat, Adriano [D-NY]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Roybal-Allard, Lucille [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Vargas, Juan [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Escobar, Veronica [D-TX]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Velazquez, Nydia M. [D-NY]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Garcia, Sylvia R. [D-TX]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Cárdenas, Tony [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Gallego, Ruben [D-AZ]","Rep. Castro, Joaquin [D-TX]",HR 458
"Rep. Scott, Austin [R-GA]","Rep. Ruiz, Raul [D-CA]",HR 4580
"Rep. Carson, Andre [D-IN]","Rep. Rush, Bobby L. [D-IL]",HR 4581
"Rep. Hayes, Jahana [D-CT]","Rep. Rush, Bobby L. [D-IL]",HR 4581
"Rep. Khanna, Ro [D-CA]","Rep. Rush, Bobby L. [D-IL]",HR 4581
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Rush, Bobby L. [D-IL]",HR 4581
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Rush, Bobby L. [D-IL]",HR 4581
"Rep. Pressley, Ayanna [D-MA]","Rep. Rush, Bobby L. [D-IL]",HR 4581
"Rep. Thompson, Bennie G. [D-MS]","Rep. Rush, Bobby L. [D-IL]",HR 4581
"Del. Radewagen, Aumua Amata Coleman [R-AS]","Del. Sablan, Gregorio Kilili Camacho [D-MP]",HR 4582
"Rep. Kahele, Kaiali'i [D-HI]","Del. Sablan, Gregorio Kilili Camacho [D-MP]",HR 4582
"Rep. LaMalfa, Doug [R-CA]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Bentz, Cliff [R-OR]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Westerman, Bruce [R-AR]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Newhouse, Dan [R-WA]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Obernolte, Jay [R-CA]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Rosendale Sr., Matthew M. [R-MT]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Boebert, Lauren [R-CO]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Tiffany, Thomas P. [R-WI]","Rep. Stauber, Pete [R-MN]",HR 4584
"Rep. Buchanan, Vern [R-FL]","Rep. Suozzi, Thomas R. [D-NY]",HR 4585
"Rep. Foster, Bill [D-IL]","Rep. Wagner, Ann [R-MO]",HR 4586
"Rep. DelBene, Suzan K. [D-WA]","Rep. Welch, Peter [D-VT]",HR 4587
"Rep. LaHood, Darin [R-IL]","Rep. Welch, Peter [D-VT]",HR 4587
"Rep. Wenstrup, Brad R. [R-OH]","Rep. Welch, Peter [D-VT]",HR 4587
"Rep. Baird, James R. [R-IN]","Rep. Wild, Susan [D-PA]",HR 4588
"Rep. Bowman, Jamaal [D-NY]","Rep. Wild, Susan [D-PA]",HR 4588
"Rep. Gonzalez, Anthony [R-OH]","Rep. Wild, Susan [D-PA]",HR 4588
"Rep. Khanna, Ro [D-CA]","Rep. Wild, Susan [D-PA]",HR 4588
"Rep. Torres, Norma J. [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Bass, Karen [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Chu, Judy [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Titus, Dina [D-NV]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Escobar, Veronica [D-TX]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Carson, Andre [D-IN]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Sires, Albio [D-NJ]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Garcia, Jesus G. ""Chuy"" [D-IL]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Cohen, Steve [D-TN]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Espaillat, Adriano [D-NY]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Huffman, Jared [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Lieu, Ted [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Connolly, Gerald E. [D-VA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Pocan, Mark [D-WI]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Kim, Andy [D-NJ]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Jacobs, Sara [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Case, Ed [D-HI]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Khanna, Ro [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. McGovern, James P. [D-MA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Cicilline, David N. [D-RI]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Lee, Barbara [D-CA]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Torres, Ritchie [D-NY]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Hayes, Jahana [D-CT]","Rep. Castro, Joaquin [D-TX]",HR 4589
"Rep. Takano, Mark [D-CA]","Rep. Mrvan, Frank J. [D-IN]",HR 4591
"Rep. Bost, Mike [R-IL]","Rep. Mrvan, Frank J. [D-IN]",HR 4591
"Rep. Lee, Susie [D-NV]","Rep. Mrvan, Frank J. [D-IN]",HR 4591
"Rep. Brown, Anthony G. [D-MD]","Rep. Mrvan, Frank J. [D-IN]",HR 4591
"Rep. Lawson, Al, Jr. [D-FL]","Rep. Hill, J. French [R-AR]",HR 4592
"Rep. Banks, Jim [R-IN]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Nehls, Troy E. [R-TX]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Carl, Jerry L. [R-AL]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Cammack, Kat [R-FL]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Loudermilk, Barry [R-GA]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Good, Bob [R-VA]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Duncan, Jeff [R-SC]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Weber, Randy K., Sr. [R-TX]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Jackson, Ronny [R-TX]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Norman, Ralph [R-SC]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Allen, Rick W. [R-GA]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Hagedorn, Jim [R-MN]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Cline, Ben [R-VA]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Lamborn, Doug [R-CO]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Wittman, Robert J. [R-VA]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Gibbs, Bob [R-OH]","Rep. Babin, Brian [R-TX]",HR 4593
"Rep. Welch, Peter [D-VT]","Rep. Bilirakis, Gus M. [R-FL]",HR 4594
"Rep. Castor, Kathy [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. McBath, Lucy [D-GA]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Ross, Deborah K. [D-NC]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Manning, Kathy E. [D-NC]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Williams, Nikema [D-GA]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Veasey, Marc A. [D-TX]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Moore, Gwen [D-WI]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Carson, Andre [D-IN]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Thompson, Bennie G. [D-MS]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Davis, Danny K. [D-IL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Clyburn, James E. [D-SC]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Murphy, Stephanie N. [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Cooper, Jim [D-TN]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Bishop, Sanford D., Jr. [D-GA]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Kind, Ron [D-WI]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Butterfield, G. K. [D-NC]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Frankel, Lois [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Sewell, Terri A. [D-AL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Cohen, Steve [D-TN]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Crist, Charlie [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Price, David E. [D-NC]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Soto, Darren [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Wasserman Schultz, Debbie [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Demings, Val Butler [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Deutch, Theodore E. [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Lawson, Al, Jr. [D-FL]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Scott, David [D-GA]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Adams, Alma S. [D-NC]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Green, Al [D-TX]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Castro, Joaquin [D-TX]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Allred, Colin Z. [D-TX]","Rep. Bourdeaux, Carolyn [D-GA]",HR 4595
"Rep. Axne, Cynthia [D-IA]","Rep. Cartwright, Matt [D-PA]",HR 4596
"Rep. Bonamici, Suzanne [D-OR]","Rep. Cartwright, Matt [D-PA]",HR 4596
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. Cartwright, Matt [D-PA]",HR 4596
"Rep. Bost, Mike [R-IL]","Rep. Garamendi, John [D-CA]",HR 4597
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. Garcia, Jesus G. ""Chuy"" [D-IL]",HR 4598
"Rep. Carson, Andre [D-IN]","Rep. Garcia, Jesus G. ""Chuy"" [D-IL]",HR 4598
"Rep. Schakowsky, Janice D. [D-IL]","Rep. Garcia, Jesus G. ""Chuy"" [D-IL]",HR 4598
"Rep. Lamb, Conor [D-PA]","Rep. Gonzalez, Anthony [R-OH]",HR 4599
"Rep. Panetta, Jimmy [D-CA]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. Underwood, Lauren [D-IL]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. Phillips, Dean [D-MN]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. Houlahan, Chrissy [D-PA]","Rep. Crow, Jason [D-CO]",HR 460
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. DeGette, Diana [D-CO]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. Chu, Judy [D-CA]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. Lawson, Al, Jr. [D-FL]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. Morelle, Joseph D. [D-NY]","Rep. Crow, Jason [D-CO]",HR 460
"Rep. Rosendale Sr., Matthew M. [R-MT]","Rep. Levin, Mike [D-CA]",HR 4601
"Rep. Ryan, Tim [D-OH]","Rep. Levin, Mike [D-CA]",HR 4601
"Rep. McMorris Rodgers, Cathy [R-WA]","Rep. Levin, Mike [D-CA]",HR 4601
"Rep. Stefanik, Elise M. [R-NY]","Rep. Levin, Mike [D-CA]",HR 4601
"Rep. McClain, Lisa C. [R-MI]","Rep. Lowenthal, Alan S. [D-CA]",HR 4602
"Rep. Pocan, Mark [D-WI]","Rep. McKinley, David B. [R-WV]",HR 4603
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. McKinley, David B. [R-WV]",HR 4603
"Rep. Davids, Sharice [D-KS]","Rep. McKinley, David B. [R-WV]",HR 4603
"Rep. Meijer, Peter [R-MI]","Rep. Ross, Deborah K. [D-NC]",HR 4606
"Rep. Miller, Mary E. [R-IL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Jackson, Ronny [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Babin, Brian [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Boebert, Lauren [R-CO]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Latta, Robert E. [R-OH]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Rosendale Sr., Matthew M. [R-MT]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. LaMalfa, Doug [R-CA]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Lamborn, Doug [R-CO]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Biggs, Andy [R-AZ]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Norman, Ralph [R-SC]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Duncan, Jeff [R-SC]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Herrell, Yvette [R-NM]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Hern, Kevin [R-OK]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Aderholt, Robert B. [R-AL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Banks, Jim [R-IN]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Weber, Randy K., Sr. [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Gosar, Paul A. [R-AZ]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Greene, Marjorie Taylor [R-GA]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Steube, W. Gregory [R-FL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Cloud, Michael [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Budd, Ted [R-NC]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Davidson, Warren [R-OH]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Harris, Andy [R-MD]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Fischbach, Michelle [R-MN]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Jordan, Jim [R-OH]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Mullin, Markwayne [R-OK]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Sessions, Pete [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Moore, Barry [R-AL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Williams, Roger [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Franklin, C. Scott [R-FL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Good, Bob [R-VA]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Webster, Daniel [R-FL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Carter, Earl L. ""Buddy"" [R-GA]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Cammack, Kat [R-FL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Gooden, Lance [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Chabot, Steve [R-OH]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Perry, Scott [R-PA]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Waltz, Michael [R-FL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Mann, Tracey [R-KS]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Mooney, Alexander X. [R-WV]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Grothman, Glenn [R-WI]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Murphy, Gregory [R-NC]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Johnson, Bill [R-OH]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Gohmert, Louie [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Gibbs, Bob [R-OH]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Kelly, Trent [R-MS]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Rutherford, John H. [R-FL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Crawford, Eric A. ""Rick"" [R-AR]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Rose, John W. [R-TN]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Palmer, Gary J. [R-AL]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Kelly, Mike [R-PA]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Hice, Jody B. [R-GA]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Moolenaar, John R. [R-MI]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Pfluger, August [R-TX]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Guest, Michael [R-MS]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. McClain, Lisa C. [R-MI]","Rep. Roy, Chip [R-TX]",HR 4607
"Rep. Salazar, Maria Elvira [R-FL]","Rep. Steel, Michelle [R-CA]",HR 4608
"Rep. Owens, Burgess [R-UT]","Rep. Steel, Michelle [R-CA]",HR 4608
"Rep. Gimenez, Carlos A. [R-FL]","Rep. Steel, Michelle [R-CA]",HR 4608
"Rep. Waltz, Michael [R-FL]","Rep. Stevens, Haley M. [D-MI]",HR 4609
"Rep. Johnson, Eddie Bernice [D-TX]","Rep. Stevens, Haley M. [D-MI]",HR 4609
"Rep. Lucas, Frank D. [R-OK]","Rep. Stevens, Haley M. [D-MI]",HR 4609
