survey_date,state_fips,county_fips,census_region,census_division,county_name,buildings_1unit,units_1unit,value_1unit,buildings_2unit,units_2unit,value_2unit,buildings_3or4unit,units_3or4unit,value_3or4unit,buildings_5plusunit,units_5plusunit,X30,total_buildings
202001,18,127,2,3,Porter County,33,33,8733163,0,0,0,0,0,0,1,12,2476849,34
202001,18,133,2,3,Putnam County,6,6,1548661,0,0,0,0,0,0,0,0,0,6
202001,18,145,2,3,Shelby County,2,2,504156,0,0,0,0,0,0,0,0,0,2
202001,18,151,2,3,Steuben County,7,7,2658514,0,0,0,0,0,0,0,0,0,7
202001,18,157,2,3,Tippecanoe County,18,18,4334066,0,0,0,0,0,0,3,48,4878384,21
202001,18,163,2,3,Vanderburgh County,17,17,2964284,0,0,0,0,0,0,0,0,0,17
202001,18,167,2,3,Vigo County,3,3,424229,0,0,0,0,0,0,0,0,0,3
202001,18,175,2,3,Washington County,4,4,967874,0,0,0,0,0,0,0,0,0,4
202001,18,183,2,3,Whitley County,9,9,2002862,0,0,0,0,0,0,0,0,0,9
202001,19,049,2,4,Dallas County,32,32,8558144,0,0,0,0,0,0,0,0,0,32
202001,19,085,2,4,Harrison County,1,1,225000,0,0,0,0,0,0,0,0,0,1
202001,19,129,2,4,Mills County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,19,153,2,4,Polk County,120,120,33030587,2,4,861042,0,0,0,2,37,2800000,124
202001,19,181,2,4,Warren County,17,17,3868389,0,0,0,0,0,0,0,0,0,17
202001,20,061,2,4,Geary County,1,1,254333,0,0,0,0,0,0,0,0,0,1
202001,20,091,2,4,Johnson County,112,112,39378799,3,6,1478000,4,16,5600000,1,67,6139877,120
202001,20,103,2,4,Leavenworth County,9,9,1941467,0,0,0,0,0,0,0,0,0,9
202001,20,107,2,4,Linn County,1,1,97636,0,0,0,0,0,0,0,0,0,1
202001,20,121,2,4,Miami County,4,4,1258362,0,0,0,0,0,0,0,0,0,4
202001,20,209,2,4,Wyandotte County,11,11,2225533,1,2,192348,0,0,0,0,0,0,12
202001,21,005,3,6,Anderson County,2,2,300538,0,0,0,0,0,0,0,0,0,2
