state_fips,county_fips,econdep
18,111,Manufacturing
18,113,Manufacturing
18,115,Service
18,117,Manufacturing
18,119,Manufacturing
18,121,Government
18,123,Manufacturing
18,125,Mining
18,127,Manufacturing
18,129,Manufacturing
18,131,Manufacturing
18,133,Manufacturing
18,135,Manufacturing
18,137,Manufacturing
18,139,Manufacturing
18,141,Service
18,143,Manufacturing
18,145,Manufacturing
18,147,Manufacturing
18,149,Manufacturing
18,151,Manufacturing
18,153,Government
18,155,Manufacturing
18,157,Manufacturing
18,159,Manufacturing
18,161,Nonspecialized
18,163,Service
18,165,Manufacturing
18,167,Nonspecialized
18,169,Manufacturing
18,171,Nonspecialized
18,173,Manufacturing
18,175,Manufacturing
18,177,Manufacturing
18,179,Manufacturing
18,181,Manufacturing
18,183,Manufacturing
19,001,Nonspecialized
19,003,Nonspecialized
19,005,Nonspecialized
19,007,Manufacturing
19,009,Farming
19,011,Nonspecialized
19,013,Manufacturing
19,015,Nonspecialized
19,017,Nonspecialized
19,019,Nonspecialized
19,021,Manufacturing
19,023,Farming
19,025,Nonspecialized
19,027,Nonspecialized
19,029,Nonspecialized
19,031,Nonspecialized
19,033,Service
19,035,Nonspecialized
19,037,Manufacturing
19,039,Manufacturing
19,041,Nonspecialized
19,043,Nonspecialized
19,045,Manufacturing
19,047,Manufacturing
19,049,Nonspecialized
19,051,Nonspecialized
19,053,Nonspecialized
19,055,Nonspecialized
19,057,Manufacturing
19,059,Manufacturing
19,061,Manufacturing
19,063,Nonspecialized
19,065,Farming
19,067,Nonspecialized
19,069,Nonspecialized
19,071,Manufacturing
19,073,Nonspecialized
19,075,Farming
19,077,Nonspecialized
19,079,Manufacturing
19,081,Manufacturing
19,083,Nonspecialized
19,085,Nonspecialized
19,087,Manufacturing
19,089,Manufacturing
19,091,Manufacturing
19,093,Manufacturing
19,095,Manufacturing
19,097,Nonspecialized
19,099,Manufacturing
19,101,Nonspecialized
19,103,Government
19,105,Nonspecialized
19,107,Nonspecialized
19,109,Nonspecialized
19,111,Manufacturing
19,113,Manufacturing
19,115,Manufacturing
19,117,Service
19,119,Farming
19,121,Nonspecialized
19,123,Nonspecialized
19,125,Manufacturing
19,127,Manufacturing
19,129,Government
19,131,Farming
19,133,Nonspecialized
19,135,Manufacturing
19,137,Nonspecialized
19,139,Manufacturing
19,141,Nonspecialized
19,143,Farming
19,145,Nonspecialized
19,147,Farming
19,149,Manufacturing
19,151,Farming
19,153,Service
19,155,Service
19,157,Nonspecialized
19,159,Farming
19,161,Farming
19,163,Nonspecialized
19,165,Nonspecialized
19,167,Manufacturing
19,169,Government
