Garage entries-exits by garage,,,,,
Facility Name,Japan Center Annex Garage,Off Street Parking ID,936,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,6/4/2012,96,102,,
,6/5/2012,118,117,,
,6/6/2012,123,123,,
,6/7/2012,120,117,,
,6/8/2012,114,114,,
,6/9/2012,70,70,,
,6/10/2012,42,42,,
,6/11/2012,102,101,,
,6/12/2012,126,121,,
,6/13/2012,104,108,,
,6/14/2012,118,124,,
,6/15/2012,120,122,,
,6/16/2012,25,28,,
,6/17/2012,31,27,,
,6/18/2012,106,102,,
,6/19/2012,118,118,,
,6/20/2012,126,124,,
,6/21/2012,110,116,,
,6/22/2012,110,112,,
,6/23/2012,72,73,,
,6/24/2012,42,36,,
,6/25/2012,88,83,,
,6/26/2012,103,108,,
,6/27/2012,117,114,,
,6/28/2012,111,113,,
,6/29/2012,116,114,,
,6/30/2012,78,79,,
,7/1/2012,46,50,,
,7/2/2012,102,100,,
,7/3/2012,112,114,,
,7/4/2012,60,58,,
,7/5/2012,106,109,,
,7/6/2012,106,101,,
,7/7/2012,10,15,,
,7/8/2012,5,5,,
,7/9/2012,91,87,,
,7/10/2012,124,122,,
,7/11/2012,107,108,,
,7/12/2012,108,112,,
,7/13/2012,123,119,,
,7/14/2012,76,77,,
,7/15/2012,50,51,,
,7/16/2012,108,108,,
,7/17/2012,119,119,,
,7/18/2012,118,116,,
,7/19/2012,124,126,,
,7/20/2012,114,113,,
,7/21/2012,72,70,,
,7/22/2012,55,60,,
,7/23/2012,108,105,,
,7/24/2012,122,121,,
,7/25/2012,115,112,,
,7/26/2012,118,123,,
,7/27/2012,120,123,,
,7/28/2012,76,73,,
,7/29/2012,51,52,,
,7/30/2012,108,106,,
,7/31/2012,107,108,,
,8/1/2012,112,110,,
,8/2/2012,111,111,,
,8/3/2012,105,104,,
,8/4/2012,63,67,,
,8/5/2012,49,52,,
,8/6/2012,93,88,,
,8/7/2012,105,105,,
,8/8/2012,110,111,,
,8/9/2012,109,108,,
,8/10/2012,104,106,,
,8/11/2012,69,69,,
,8/12/2012,44,44,,
,8/13/2012,92,92,,
,8/14/2012,116,113,,
,8/15/2012,110,111,,
,8/16/2012,115,113,,
,8/17/2012,101,103,,
,8/18/2012,73,75,,
,8/19/2012,52,45,,
,8/20/2012,93,100,,
,8/21/2012,109,103,,
,8/22/2012,104,102,,
,8/23/2012,124,124,,
,8/24/2012,115,116,,
,8/25/2012,69,77,,
,8/26/2012,57,50,,
,8/27/2012,102,104,,
,8/28/2012,122,122,,
,8/29/2012,117,116,,
,8/30/2012,115,112,,
,8/31/2012,111,114,,
,9/1/2012,68,67,,
,9/2/2012,46,48,,
,9/3/2012,53,49,,
,9/4/2012,106,107,,
,9/5/2012,119,118,,
,9/6/2012,116,114,,
,9/7/2012,107,112,,
,9/8/2012,78,78,,
,9/9/2012,51,50,,
,9/10/2012,101,97,,
,9/11/2012,124,123,,
,9/12/2012,116,118,,
,9/13/2012,129,129,,
,9/14/2012,120,121,,
,9/15/2012,79,80,,
,9/16/2012,52,53,,
,9/17/2012,103,99,,
,9/18/2012,105,107,,
,9/19/2012,108,110,,
,9/20/2012,112,114,,
,9/21/2012,118,118,,
,9/22/2012,74,75,,
,9/23/2012,44,43,,
,9/24/2012,95,94,,
,9/25/2012,117,115,,
,9/26/2012,105,105,,
,9/27/2012,108,106,,
,9/28/2012,105,110,,
,9/29/2012,69,70,,
,9/30/2012,49,45,,
,10/1/2012,91,93,,
,10/2/2012,103,103,,
,10/3/2012,115,115,,
,10/4/2012,114,113,,
,10/5/2012,102,102,,
,10/6/2012,75,78,,
,10/7/2012,51,44,,
,10/8/2012,101,105,,
,10/9/2012,115,119,,
,10/10/2012,128,124,,
,10/11/2012,108,108,,
,10/12/2012,104,106,,
,10/13/2012,75,74,,
,10/14/2012,48,51,,
,10/15/2012,99,97,,
,10/16/2012,113,114,,
,10/17/2012,116,118,,
,10/18/2012,100,99,,
,10/19/2012,107,110,,
,10/20/2012,70,69,,
,10/21/2012,50,48,,
,10/22/2012,100,99,,
,10/23/2012,105,105,,
,10/24/2012,113,113,,
,10/25/2012,111,109,,
,10/26/2012,97,101,,
,10/27/2012,64,62,,
,10/28/2012,44,47,,
,10/29/2012,97,91,,
,10/30/2012,116,120,,
,10/31/2012,100,100,,
,11/1/2012,106,107,,
,11/2/2012,108,109,,
,11/3/2012,76,71,,
,11/4/2012,45,49,,
,11/5/2012,95,93,,
,11/6/2012,108,109,,
,11/7/2012,109,106,,
,11/8/2012,117,119,,
,11/9/2012,102,102,,
,11/10/2012,72,75,,
,11/11/2012,43,44,,
,11/12/2012,89,91,,
,11/13/2012,112,106,,
,11/14/2012,114,114,,
,11/15/2012,115,119,,
,11/16/2012,98,97,,
,11/17/2012,73,74,,
,11/18/2012,40,43,,
,11/19/2012,96,96,,
,11/20/2012,115,117,,
,11/21/2012,98,96,,
,11/22/2012,13,21,,
,11/23/2012,65,66,,
,11/24/2012,48,45,,
,11/25/2012,47,43,,
,11/26/2012,101,99,,
,11/27/2012,120,120,,
,11/28/2012,105,108,,
,11/29/2012,97,92,,
,11/30/2012,106,109,,
,12/1/2012,80,82,,
,12/2/2012,46,44,,
,12/3/2012,100,100,,
,12/4/2012,112,114,,
,12/5/2012,115,113,,
,12/6/2012,105,105,,
,12/7/2012,109,108,,
,12/8/2012,62,64,,
,12/9/2012,43,45,,
,12/10/2012,33,31,,
,12/11/2012,106,103,,
,12/12/2012,101,101,,
,12/13/2012,108,105,,
,12/14/2012,94,102,,
,12/15/2012,64,60,,
,12/16/2012,46,49,,
,12/17/2012,99,99,,
,12/18/2012,110,106,,
,12/19/2012,99,99,,
,12/20/2012,97,98,,
,12/21/2012,97,99,,
,12/22/2012,63,63,,
,12/23/2012,50,49,,
,12/24/2012,66,67,,
,12/25/2012,16,17,,
,12/26/2012,77,73,,
,12/27/2012,86,85,,
,12/28/2012,77,81,,
,12/29/2012,59,57,,
,12/30/2012,46,45,,
,12/31/2012,72,72,,
,1/1/2013,27,28,,
,1/2/2013,81,77,,
,1/3/2013,99,103,,
,1/4/2013,86,89,,
,1/5/2013,66,63,,
,1/6/2013,49,47,,
,1/7/2013,98,97,,
,1/8/2013,104,105,,
,1/9/2013,103,104,,
,1/10/2013,111,112,,
,1/11/2013,108,106,,
,1/12/2013,72,69,,
,1/13/2013,49,50,,
,1/14/2013,87,87,,
,1/15/2013,104,103,,
,1/16/2013,105,107,,
,1/17/2013,112,114,,
,1/18/2013,100,99,,
,1/19/2013,71,68,,
,1/20/2013,48,51,,
,1/21/2013,72,73,,
,1/22/2013,105,104,,
,1/23/2013,104,102,,
,1/24/2013,113,108,,
,1/25/2013,117,122,,
,1/26/2013,67,65,,
,1/27/2013,46,49,,
,1/28/2013,94,92,,
,1/29/2013,110,110,,
,1/30/2013,103,106,,
,1/31/2013,125,123,,
,2/1/2013,106,109,,
,2/2/2013,74,71,,
,2/3/2013,50,49,,
,2/4/2013,97,97,,
,2/5/2013,109,110,,
,2/6/2013,107,109,,
,2/7/2013,106,104,,
,2/8/2013,100,102,,
,2/9/2013,77,75,,
,2/10/2013,51,53,,
,2/11/2013,89,88,,
,2/12/2013,104,104,,
,2/13/2013,103,103,,
,2/14/2013,113,117,,
,2/15/2013,108,108,,
,2/16/2013,71,66,,
,2/17/2013,46,50,,
,2/18/2013,73,66,,
,2/19/2013,99,100,,
,2/20/2013,98,98,,
,2/21/2013,105,104,,
,2/22/2013,97,101,,
,2/23/2013,66,64,,
,2/24/2013,55,57,,
,2/25/2013,84,84,,
,2/26/2013,112,111,,
,2/27/2013,97,95,,
,2/28/2013,110,109,,
,3/1/2013,109,114,,
,3/2/2013,68,65,,
,3/3/2013,50,50,,
,3/4/2013,98,98,,
,3/5/2013,114,117,,
,3/6/2013,97,97,,
,3/7/2013,108,107,,
,3/8/2013,111,114,,
,3/9/2013,65,66,,
,3/10/2013,43,42,,
,3/11/2013,84,79,,
,3/12/2013,103,106,,
,3/13/2013,100,96,,
,3/14/2013,110,110,,
,3/15/2013,103,104,,
,3/16/2013,75,76,,
,3/17/2013,60,60,,
,3/18/2013,85,82,,
,3/19/2013,107,107,,
,3/20/2013,95,96,,
,3/21/2013,109,110,,
,3/22/2013,99,98,,
,3/23/2013,74,76,,
,3/24/2013,53,49,,
,3/25/2013,79,82,,
,3/26/2013,91,92,,
,3/27/2013,88,87,,
,3/28/2013,100,99,,
,3/29/2013,80,83,,
,3/30/2013,65,64,,
,3/31/2013,48,48,,
,4/1/2013,84,80,,
,4/2/2013,105,107,,
,4/3/2013,104,101,,
,4/4/2013,99,102,,
,4/5/2013,108,106,,
,4/6/2013,72,73,,
,4/7/2013,53,54,,
,4/8/2013,82,80,,
,4/9/2013,104,102,,
,4/10/2013,102,103,,
,4/11/2013,119,117,,
,4/12/2013,103,106,,
,4/13/2013,62,64,,
,4/14/2013,49,46,,
,4/15/2013,92,90,,
,4/16/2013,100,102,,
,4/17/2013,95,97,,
,4/18/2013,106,104,,
,4/19/2013,103,105,,
,4/20/2013,69,69,,
,4/21/2013,49,51,,
,4/22/2013,89,83,,
,4/23/2013,105,105,,
,4/24/2013,96,98,,
,4/25/2013,117,117,,
,4/26/2013,101,102,,
,4/27/2013,62,64,,
,4/28/2013,42,40,,
,4/29/2013,84,83,,
,4/30/2013,122,121,,
,5/1/2013,98,100,,
,5/2/2013,100,95,,
,5/3/2013,100,104,,
,5/4/2013,72,69,,
,5/5/2013,46,45,,
,5/6/2013,90,92,,
,5/7/2013,110,108,,
,5/8/2013,98,98,,
,5/9/2013,98,101,,
,5/10/2013,98,102,,
,5/11/2013,59,59,,
,5/12/2013,48,45,,
,5/13/2013,83,82,,
,5/14/2013,99,102,,
,5/15/2013,96,52,,
,5/16/2013,106,106,,
,5/17/2013,87,88,,
,5/18/2013,57,53,,
,5/19/2013,39,39,,
,5/20/2013,87,87,,
,5/21/2013,110,109,,
,5/22/2013,95,96,,
,5/23/2013,97,95,,
,5/24/2013,104,105,,
,5/25/2013,63,67,,
,5/26/2013,52,48,,
,5/27/2013,50,49,,
,5/28/2013,100,99,,
,5/29/2013,97,102,,
,5/30/2013,107,103,,
,5/31/2013,100,103,,
Transient,4/1/2011,294,272,,
,4/2/2011,476,445,,
,4/3/2011,291,300,,
,4/4/2011,193,186,,
,4/5/2011,202,183,,
,4/6/2011,267,268,,
,4/7/2011,244,226,,
,4/8/2011,372,352,,
,4/9/2011,485,461,,
,4/10/2011,465,462,,
,4/11/2011,181,177,,
,4/12/2011,211,202,,
,4/13/2011,195,187,,
,4/14/2011,286,260,,
,4/15/2011,362,354,,
,4/16/2011,416,392,,
,4/17/2011,430,430,,
,4/18/2011,283,269,,
,4/19/2011,211,201,,
,4/20/2011,244,228,,
,4/21/2011,274,252,,
,4/22/2011,331,312,,
,4/23/2011,404,386,,
,4/24/2011,310,308,,
,4/25/2011,281,273,,
,4/26/2011,292,269,,
,4/27/2011,305,293,,
,4/28/2011,318,302,,
,4/29/2011,335,326,,
,4/30/2011,360,333,,
,5/1/2011,397,398,,
,5/2/2011,281,268,,
,5/3/2011,305,295,,
,5/4/2011,283,273,,
,5/5/2011,265,253,,
,5/6/2011,332,289,,
,5/7/2011,416,386,,
,5/8/2011,380,399,,
,5/9/2011,185,181,,
,5/10/2011,190,176,,
,5/11/2011,267,248,,
,5/12/2011,183,174,,
,5/13/2011,385,332,,
,5/14/2011,408,402,,
,5/15/2011,385,378,,
,5/16/2011,264,257,,
,5/17/2011,252,235,,
,5/18/2011,273,249,,
,5/19/2011,193,182,,
,5/20/2011,321,306,,
,5/21/2011,407,379,,
,5/22/2011,339,334,,
,5/23/2011,201,184,,
,5/24/2011,201,188,,
,5/25/2011,286,265,,
,5/26/2011,353,313,,
,5/27/2011,463,458,,
,5/28/2011,492,477,,
,5/29/2011,467,442,,
,5/30/2011,454,435,,
,5/31/2011,311,294,,
,6/1/2011,342,322,,
,6/2/2011,282,270,,
,6/3/2011,408,360,,
,6/4/2011,560,511,,
,6/5/2011,497,526,,
,6/6/2011,265,253,,
,6/7/2011,219,206,,
,6/8/2011,347,327,,
,6/9/2011,334,281,,
,6/10/2011,365,375,,
,6/11/2011,494,460,,
,6/12/2011,381,401,,
,6/13/2011,280,262,,
,6/14/2011,271,253,,
,6/15/2011,303,274,,
,6/16/2011,279,272,,
,6/17/2011,400,357,,
,6/18/2011,372,371,,
,6/19/2011,283,271,,
,6/20/2011,235,213,,
,6/21/2011,227,227,,
,6/22/2011,288,259,,
,6/23/2011,274,260,,
,6/24/2011,337,319,,
,6/25/2011,399,376,,
,6/26/2011,259,250,,
,6/27/2011,260,246,,
,6/28/2011,294,279,,
,6/29/2011,288,263,,
,6/30/2011,234,223,,
,7/1/2011,369,308,,
,7/2/2011,22,49,,
,7/3/2011,22,17,,
,7/4/2011,129,121,,
,7/5/2011,144,135,,
,7/6/2011,162,155,,
,7/7/2011,243,219,,
,7/8/2011,358,327,,
,7/9/2011,452,439,,
,7/10/2011,369,363,,
,7/11/2011,218,201,,
,7/12/2011,253,239,,
,7/13/2011,257,242,,
,7/14/2011,233,219,,
,7/15/2011,409,361,,
,7/16/2011,512,451,,
,7/17/2011,417,424,,
,7/18/2011,257,265,,
,7/19/2011,271,254,,
,7/20/2011,296,292,,
,7/21/2011,273,252,,
,7/22/2011,387,336,,
,7/23/2011,416,412,,
,7/24/2011,356,367,,
,7/25/2011,248,232,,
,7/26/2011,284,270,,
,7/27/2011,234,223,,
,7/28/2011,257,233,,
,7/29/2011,329,303,,
,7/30/2011,394,379,,
,7/31/2011,364,368,,
,8/1/2011,225,212,,
,8/2/2011,224,222,,
,8/3/2011,247,234,,
,8/4/2011,251,235,,
,8/5/2011,456,384,,
,8/6/2011,450,466,,
,8/7/2011,376,374,,
,8/8/2011,235,220,,
,8/9/2011,213,204,,
,8/10/2011,286,273,,
,8/11/2011,294,282,,
,8/12/2011,337,314,,
,8/13/2011,441,407,,
,8/14/2011,494,497,,
,8/15/2011,208,203,,
,8/16/2011,314,292,,
,8/17/2011,271,262,,
,8/18/2011,287,267,,
,8/19/2011,373,355,,
,8/20/2011,384,371,,
,8/21/2011,343,336,,
,8/22/2011,223,212,,
,8/23/2011,174,166,,
,8/24/2011,274,252,,
,8/25/2011,263,243,,
,8/26/2011,319,299,,
,8/27/2011,457,445,,
,8/28/2011,437,431,,
,8/29/2011,194,182,,
,8/30/2011,169,157,,
,8/31/2011,222,215,,
,9/1/2011,231,202,,
,9/2/2011,320,294,,
,9/3/2011,395,381,,
,9/4/2011,442,419,,
,9/5/2011,367,358,,
,9/6/2011,187,182,,
,9/7/2011,193,182,,
,9/8/2011,202,192,,
