Garage entries-exits by garage,,,,,
Facility Name,16th and Hoff Garage,Off Street Parking ID,930,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
,7/13/2012,208.00,176.00,,
,7/14/2012,232.00,236.00,,
,7/15/2012,172.00,201.00,,
,7/16/2012,143.00,142.00,,
,7/17/2012,140.00,143.00,,
,7/18/2012,148.00,141.00,,
,7/19/2012,153.00,150.00,,
,7/20/2012,167.00,148.00,,
,7/21/2012,256.00,246.00,,
,7/22/2012,218.00,247.00,,
,7/23/2012,103.00,99.00,,
,7/24/2012,143.00,139.00,,
,7/25/2012,155.00,154.00,,
,7/26/2012,135.00,124.00,,
,7/27/2012,194.00,166.00,,
,7/28/2012,261.00,266.00,,
,7/29/2012,159.00,175.00,,
,7/30/2012,121.00,116.00,,
,7/31/2012,118.00,114.00,,
,8/1/2012,120.00,117.00,,
,8/2/2012,122.00,119.00,,
,8/3/2012,178.00,161.00,,
,8/4/2012,212.00,206.00,,
,8/5/2012,194.00,216.00,,
,8/6/2012,119.00,124.00,,
,8/7/2012,122.00,119.00,,
,8/8/2012,139.00,128.00,,
,8/9/2012,131.00,130.00,,
,8/10/2012,163.00,147.00,,
,8/11/2012,225.00,224.00,,
,8/12/2012,185.00,205.00,,
,8/13/2012,128.00,131.00,,
,8/14/2012,152.00,149.00,,
,8/15/2012,151.00,150.00,,
,8/16/2012,148.00,142.00,,
,8/17/2012,194.00,172.00,,
,8/18/2012,201.00,207.00,,
,8/19/2012,201.00,209.00,,
,8/20/2012,138.00,143.00,,
,8/21/2012,164.00,161.00,,
,8/22/2012,168.00,170.00,,
,8/23/2012,181.00,172.00,,
,8/24/2012,217.00,189.00,,
,8/25/2012,233.00,229.00,,
,8/26/2012,188.00,212.00,,
,8/27/2012,127.00,130.00,,
,8/28/2012,160.00,157.00,,
,8/29/2012,120.00,114.00,,
,8/30/2012,149.00,144.00,,
,8/31/2012,191.00,186.00,,
,9/1/2012,182.00,170.00,,
,9/2/2012,200.00,221.00,,
,9/3/2012,139.00,140.00,,
,9/4/2012,133.00,133.00,,
,9/5/2012,128.00,126.00,,
,9/6/2012,167.00,166.00,,
,9/7/2012,201.00,182.00,,
,9/8/2012,238.00,236.00,,
,9/9/2012,160.00,179.00,,
,9/10/2012,138.00,134.00,,
,9/11/2012,135.00,139.00,,
,9/12/2012,129.00,120.00,,
,9/13/2012,162.00,164.00,,
,9/14/2012,201.00,175.00,,
,9/15/2012,233.00,223.00,,
,9/16/2012,171.00,202.00,,
,9/17/2012,136.00,131.00,,
,9/18/2012,141.00,139.00,,
,9/19/2012,176.00,172.00,,
,9/20/2012,183.00,182.00,,
,9/21/2012,238.00,221.00,,
,9/22/2012,226.00,220.00,,
,9/23/2012,185.00,209.00,,
,9/24/2012,145.00,144.00,,
,9/25/2012,139.00,137.00,,
,9/26/2012,145.00,145.00,,
,9/27/2012,181.00,179.00,,
,9/28/2012,209.00,190.00,,
