Garage entries-exits by garage,,,,,
Facility Name,Lombard Street Garage,Off Street Parking ID,938,Parking Management District,Marina
Usage Type,Date,Total Entries,Total Exits,,
,2/12/2013,85,81,,
,2/13/2013,83,80,,
,2/14/2013,91,91,,
,2/15/2013,92,97,,
,2/16/2013,34,34,,
,2/17/2013,25,23,,
,2/18/2013,44,43,,
,2/19/2013,77,78,,
,2/20/2013,91,87,,
,2/21/2013,80,83,,
,2/22/2013,83,86,,
,2/23/2013,35,35,,
,2/24/2013,34,29,,
,2/25/2013,86,67,,
,2/26/2013,87,87,,
,2/27/2013,87,86,,
,2/28/2013,89,87,,
,3/1/2013,77,81,,
,3/2/2013,34,32,,
,3/3/2013,40,39,,
,3/4/2013,91,82,,
,3/5/2013,97,100,,
,3/6/2013,87,85,,
,3/7/2013,83,82,,
,3/8/2013,92,89,,
,3/9/2013,36,44,,
,3/10/2013,35,37,,
,3/11/2013,85,78,,
,3/12/2013,90,92,,
,3/13/2013,92,86,,
,3/14/2013,90,91,,
,3/15/2013,90,94,,
,3/16/2013,39,39,,
,3/17/2013,29,27,,
,3/18/2013,84,86,,
,3/19/2013,85,81,,
,3/20/2013,82,86,,
,3/21/2013,81,82,,
,3/22/2013,89,89,,
,3/23/2013,41,44,,
,3/24/2013,28,28,,
,3/25/2013,91,80,,
,3/26/2013,90,88,,
,3/27/2013,78,77,,
,3/28/2013,80,86,,
,3/29/2013,77,75,,
,3/30/2013,35,38,,
,3/31/2013,32,30,,
,4/1/2013,76,71,,
,4/2/2013,79,79,,
,4/3/2013,84,84,,
,4/4/2013,85,86,,
,4/5/2013,82,79,,
,4/6/2013,38,44,,
,4/7/2013,32,30,,
,4/8/2013,80,78,,
,4/9/2013,80,79,,
,4/10/2013,82,83,,
,4/11/2013,97,96,,
,4/12/2013,91,94,,
,4/13/2013,44,49,,
,4/14/2013,39,38,,
,4/15/2013,73,69,,
,4/16/2013,88,88,,
,4/17/2013,80,81,,
,4/18/2013,79,77,,
,4/19/2013,83,86,,
,4/20/2013,34,38,,
,4/21/2013,29,28,,
,4/22/2013,97,91,,
,4/23/2013,91,91,,
,4/24/2013,88,88,,
,4/25/2013,91,93,,
,4/26/2013,88,89,,
,4/27/2013,37,35,,
,4/28/2013,23,24,,
,4/29/2013,75,72,,
,4/30/2013,85,84,,
,5/1/2013,78,80,,
,5/2/2013,93,91,,
,5/3/2013,78,81,,
,5/4/2013,43,46,,
,5/5/2013,35,30,,
,5/6/2013,81,79,,
,5/7/2013,84,83,,
,5/8/2013,87,88,,
,5/9/2013,96,96,,
,5/10/2013,80,81,,
,5/11/2013,31,36,,
,5/12/2013,30,28,,
,5/13/2013,83,78,,
,5/14/2013,84,85,,
,5/15/2013,71,72,,
,5/16/2013,73,72,,
,5/17/2013,78,80,,
,5/18/2013,40,37,,
,5/19/2013,24,23,,
,5/20/2013,84,85,,
,5/21/2013,85,86,,
,5/22/2013,85,84,,
,5/23/2013,94,93,,
,5/24/2013,86,92,,
,5/25/2013,22,24,,
,5/26/2013,23,23,,
,5/27/2013,30,28,,
,5/28/2013,94,87,,
,5/29/2013,97,97,,
,5/30/2013,83,86,,
,5/31/2013,90,90,,
Transient,4/1/2011,235,214,,
,4/2/2011,245,232,,
,4/3/2011,119,161,,
,4/4/2011,124,118,,
,4/5/2011,125,125,,
,4/6/2011,146,142,,
,4/7/2011,185,170,,
,4/8/2011,245,224,,
