Garage entries-exits by garage,,,,,
Facility Name,Moscone Center Garage,Off Street Parking ID,941,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,11/7/2012,154,159,,
,11/8/2012,137,138,,
,11/9/2012,136,130,,
,11/10/2012,14,18,,
,11/11/2012,21,23,,
,11/12/2012,123,122,,
,11/13/2012,147,143,,
,11/14/2012,152,154,,
,11/15/2012,153,153,,
,11/16/2012,145,144,,
,11/17/2012,27,26,,
,11/18/2012,17,19,,
,11/19/2012,141,142,,
,11/20/2012,143,137,,
,11/21/2012,108,113,,
,11/22/2012,6,5,,
,11/23/2012,30,27,,
,11/24/2012,20,20,,
,11/25/2012,16,18,,
,11/26/2012,128,128,,
,11/27/2012,141,143,,
,11/28/2012,143,143,,
,11/29/2012,147,148,,
,11/30/2012,132,124,,
,12/1/2012,22,29,,
,12/2/2012,17,19,,
,12/3/2012,141,137,,
,12/4/2012,136,142,,
,12/5/2012,136,135,,
,12/6/2012,146,142,,
,12/7/2012,137,134,,
,12/8/2012,36,43,,
,12/9/2012,16,18,,
,12/10/2012,141,143,,
,12/11/2012,151,149,,
,12/12/2012,141,135,,
,12/13/2012,141,144,,
,12/14/2012,147,144,,
,12/15/2012,32,34,,
,12/16/2012,20,22,,
,12/17/2012,138,141,,
,12/18/2012,145,136,,
,12/19/2012,151,154,,
,12/20/2012,153,152,,
,12/21/2012,125,122,,
,12/22/2012,24,24,,
,12/23/2012,12,14,,
,12/24/2012,34,34,,
,12/25/2012,0,0,,
,12/26/2012,69,70,,
,12/27/2012,97,99,,
,12/28/2012,93,94,,
,12/29/2012,23,25,,
,12/30/2012,12,9,,
,12/31/2012,62,61,,
,1/1/2013,12,13,,
,1/2/2013,123,123,,
,1/3/2013,123,122,,
,1/4/2013,125,121,,
,1/5/2013,34,32,,
,1/6/2013,15,19,,
,1/7/2013,143,148,,
,1/8/2013,138,138,,
,1/9/2013,152,152,,
,1/10/2013,158,158,,
,1/11/2013,156,151,,
,1/12/2013,23,26,,
,1/13/2013,18,22,,
,1/14/2013,146,146,,
,1/15/2013,145,144,,
,1/16/2013,157,145,,
,1/17/2013,127,124,,
,1/18/2013,126,120,,
,1/19/2013,29,29,,
,1/20/2013,22,24,,
,1/21/2013,92,93,,
,1/22/2013,144,144,,
,1/23/2013,141,138,,
,1/24/2013,133,134,,
,1/25/2013,135,130,,
,1/26/2013,29,30,,
,1/27/2013,11,13,,
,1/28/2013,137,136,,
,1/29/2013,149,151,,
,1/30/2013,147,147,,
,1/31/2013,141,142,,
,2/1/2013,145,145,,
,2/2/2013,37,37,,
,2/3/2013,12,14,,
,2/4/2013,154,152,,
,2/5/2013,159,161,,
,2/6/2013,163,160,,
,2/7/2013,152,150,,
,2/8/2013,142,138,,
,2/9/2013,21,19,,
,2/10/2013,15,19,,
,2/11/2013,138,140,,
,2/12/2013,146,148,,
,2/13/2013,148,148,,
,2/14/2013,150,150,,
,2/15/2013,147,139,,
,2/16/2013,34,40,,
,2/17/2013,18,18,,
,2/18/2013,62,59,,
,2/19/2013,137,137,,
,2/20/2013,138,139,,
,2/21/2013,148,145,,
,2/22/2013,147,146,,
,2/23/2013,30,31,,
,2/24/2013,18,22,,
,2/25/2013,151,151,,
,2/26/2013,158,161,,
,2/27/2013,158,160,,
,2/28/2013,149,140,,
,3/1/2013,128,130,,
,3/2/2013,31,32,,
,3/3/2013,17,21,,
,3/4/2013,138,136,,
,3/5/2013,152,154,,
,3/6/2013,144,145,,
,3/7/2013,154,152,,
,3/8/2013,135,131,,
,3/9/2013,29,30,,
,3/10/2013,21,26,,
,3/11/2013,146,142,,
,3/12/2013,151,150,,
,3/13/2013,149,149,,
,3/14/2013,149,150,,
,3/15/2013,138,136,,
,3/16/2013,31,32,,
,3/17/2013,20,24,,
,3/18/2013,146,142,,
,3/19/2013,139,145,,
,3/20/2013,147,145,,
,3/21/2013,143,142,,
,3/22/2013,138,132,,
,3/23/2013,32,32,,
,3/24/2013,12,17,,
,3/25/2013,132,130,,
,3/26/2013,151,153,,
,3/27/2013,160,157,,
,3/28/2013,146,145,,
,3/29/2013,126,122,,
,3/30/2013,25,27,,
,3/31/2013,17,20,,
,4/1/2013,135,135,,
,4/2/2013,155,154,,
,4/3/2013,132,135,,
,4/4/2013,137,134,,
,4/5/2013,120,112,,
,4/6/2013,26,27,,
,4/7/2013,15,18,,
,4/8/2013,137,140,,
,4/9/2013,147,143,,
,4/10/2013,156,159,,
,4/11/2013,147,148,,
,4/12/2013,149,141,,
,4/13/2013,25,28,,
,4/14/2013,18,19,,
,4/15/2013,141,140,,
,4/16/2013,157,156,,
,4/17/2013,139,141,,
,4/18/2013,147,149,,
,4/19/2013,127,125,,
,4/20/2013,24,26,,
,4/21/2013,24,26,,
,4/22/2013,140,141,,
,4/23/2013,152,145,,
,4/24/2013,145,150,,
,4/25/2013,145,144,,
,4/26/2013,134,131,,
,4/27/2013,26,23,,
,4/28/2013,17,22,,
,4/29/2013,130,135,,
,4/30/2013,143,138,,
,5/1/2013,133,129,,
,5/2/2013,152,152,,
,5/3/2013,137,133,,
,5/4/2013,29,34,,
,5/5/2013,18,20,,
,5/6/2013,140,142,,
,5/7/2013,141,137,,
,5/8/2013,142,145,,
,5/9/2013,147,148,,
,5/10/2013,142,139,,
,5/11/2013,20,22,,
,5/12/2013,21,25,,
,5/13/2013,159,153,,
,5/14/2013,155,156,,
,5/15/2013,127,127,,
,5/16/2013,154,154,,
,5/17/2013,126,125,,
,5/18/2013,28,32,,
,5/19/2013,23,24,,
,5/20/2013,145,143,,
,5/21/2013,156,151,,
,5/22/2013,146,149,,
,5/23/2013,147,150,,
,5/24/2013,129,125,,
,5/25/2013,24,25,,
,5/26/2013,11,10,,
,5/27/2013,18,21,,
,5/28/2013,135,135,,
,5/29/2013,144,144,,
,5/30/2013,159,155,,
,5/31/2013,142,142,,
Transient,4/1/2011,834,775,,
,4/2/2011,"1,224","1,128",,
,4/3/2011,925,974,,
,4/4/2011,459,444,,
,4/5/2011,564,554,,
,4/6/2011,763,746,,
,4/7/2011,657,639,,
,4/8/2011,615,582,,
,4/9/2011,308,279,,
,4/10/2011,159,191,,
,4/11/2011,455,439,,
,4/12/2011,625,591,,
,4/13/2011,483,465,,
,4/14/2011,585,562,,
,4/15/2011,623,596,,
,4/16/2011,286,265,,
,4/17/2011,149,169,,
,4/18/2011,445,434,,
,4/19/2011,549,525,,
,4/20/2011,596,573,,
,4/21/2011,503,467,,
,4/22/2011,406,376,,
,4/23/2011,216,207,,
,4/24/2011,108,132,,
,4/25/2011,354,339,,
,4/26/2011,440,409,,
,4/27/2011,661,631,,
,4/28/2011,694,664,,
,4/29/2011,382,368,,
,4/30/2011,262,235,,
,5/1/2011,117,146,,
,5/2/2011,261,250,,
,5/3/2011,348,342,,
,5/4/2011,442,430,,
,5/5/2011,559,541,,
,5/6/2011,486,459,,
,5/7/2011,313,296,,
,5/8/2011,198,211,,
,5/9/2011,298,281,,
,5/10/2011,822,789,,
,5/11/2011,486,462,,
,5/12/2011,498,487,,
,5/13/2011,429,395,,
,5/14/2011,354,328,,
,5/15/2011,188,220,,
,5/16/2011,387,368,,
,5/17/2011,431,413,,
,5/18/2011,458,439,,
,5/19/2011,440,425,,
,5/20/2011,585,545,,
,5/21/2011,365,339,,
,5/22/2011,256,280,,
,5/23/2011,408,346,,
,5/24/2011,436,405,,
,5/25/2011,565,547,,
,5/26/2011,564,551,,
,5/27/2011,321,306,,
,5/28/2011,176,163,,
,5/29/2011,127,138,,
,5/30/2011,142,136,,
,5/31/2011,300,285,,
,6/1/2011,363,360,,
,6/2/2011,487,471,,
,6/3/2011,494,463,,
,6/4/2011,442,398,,
,6/5/2011,374,399,,
,6/6/2011,431,411,,
,6/7/2011,442,426,,
,6/8/2011,432,426,,
,6/9/2011,741,715,,
,6/10/2011,448,425,,
,6/11/2011,274,263,,
,6/12/2011,151,173,,
,6/13/2011,253,240,,
,6/14/2011,382,363,,
,6/15/2011,316,306,,
,6/16/2011,493,467,,
,6/17/2011,412,388,,
,6/18/2011,308,276,,
,6/19/2011,166,194,,
,6/20/2011,314,294,,
,6/21/2011,472,446,,
,6/22/2011,680,647,,
,6/23/2011,893,870,,
,6/24/2011,680,632,,
,6/25/2011,314,308,,
,6/26/2011,263,273,,
,6/27/2011,288,281,,
,6/28/2011,347,341,,
,6/29/2011,399,381,,
,6/30/2011,443,437,,
,7/1/2011,367,344,,
,7/2/2011,339,314,,
,7/3/2011,197,213,,
,7/4/2011,90,89,,
,7/5/2011,319,311,,
,7/6/2011,290,277,,
,7/7/2011,438,421,,
,7/8/2011,507,476,,
,7/9/2011,354,329,,
,7/10/2011,170,205,,
,7/11/2011,598,573,,
,7/12/2011,880,841,,
,7/13/2011,926,883,,
,7/14/2011,"1,055","1,036",,
,7/15/2011,464,451,,
,7/16/2011,327,312,,
,7/17/2011,188,191,,
,7/18/2011,291,279,,
,7/19/2011,346,336,,
,7/20/2011,346,336,,
,7/21/2011,416,405,,
,7/22/2011,390,351,,
,7/23/2011,310,307,,
,7/24/2011,179,199,,
,7/25/2011,275,261,,
,7/26/2011,336,325,,
,7/27/2011,296,293,,
,7/28/2011,466,446,,
,7/29/2011,419,388,,
,7/30/2011,275,251,,
,7/31/2011,175,206,,
,8/1/2011,277,264,,
,8/2/2011,404,394,,
,8/3/2011,380,373,,
,8/4/2011,533,511,,
,8/5/2011,504,480,,
,8/6/2011,599,567,,
,8/7/2011,520,520,,
,8/8/2011,590,557,,
