Garage entries-exits by garage,,,,,
Facility Name,Ellis OFarrell Garage,Off Street Parking ID,932,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,4/7/2013,56,60,,
,4/8/2013,157,154,,
,4/9/2013,160,159,,
,4/10/2013,157,154,,
,4/11/2013,158,155,,
,4/12/2013,133,135,,
,4/13/2013,70,74,,
,4/14/2013,60,57,,
,4/15/2013,152,158,,
,4/16/2013,164,161,,
,4/17/2013,162,162,,
,4/18/2013,162,161,,
,4/19/2013,141,144,,
,4/20/2013,65,67,,
,4/21/2013,46,42,,
,4/22/2013,152,152,,
,4/23/2013,172,172,,
,4/24/2013,165,164,,
,4/25/2013,165,164,,
,4/26/2013,148,149,,
,4/27/2013,68,71,,
,4/28/2013,57,56,,
,4/29/2013,156,158,,
,4/30/2013,153,154,,
,5/1/2013,163,161,,
,5/2/2013,158,154,,
,5/3/2013,161,158,,
,5/4/2013,82,86,,
,5/5/2013,59,55,,
,5/6/2013,157,157,,
,5/7/2013,179,181,,
,5/8/2013,159,160,,
,5/9/2013,164,163,,
,5/10/2013,169,168,,
,5/11/2013,72,80,,
,5/12/2013,57,54,,
,5/13/2013,163,166,,
,5/14/2013,171,165,,
,5/15/2013,167,171,,
,5/16/2013,162,157,,
,5/17/2013,146,151,,
,5/18/2013,64,66,,
,5/19/2013,46,44,,
,5/20/2013,149,151,,
,5/21/2013,178,176,,
,5/22/2013,154,153,,
,5/23/2013,173,169,,
,5/24/2013,137,142,,
,5/25/2013,58,62,,
,5/26/2013,42,37,,
,5/27/2013,48,52,,
,5/28/2013,168,166,,
,5/29/2013,171,165,,
,5/30/2013,164,168,,
,5/31/2013,159,162,,
Transient,4/1/2011,"1,820","1,715",,
,4/2/2011,"2,240","2,223",,
,4/3/2011,"1,353","1,432",,
,4/4/2011,"1,059","1,045",,
,4/5/2011,"1,251","1,214",,
,4/6/2011,"1,324","1,314",,
,4/7/2011,"1,436","1,400",,
,4/8/2011,"1,705","1,601",,
,4/9/2011,"2,213","2,155",,
,4/10/2011,"1,333","1,446",,
,4/11/2011,"1,169","1,161",,
,4/12/2011,"1,304","1,281",,
,4/13/2011,"1,389","1,398",,
,4/14/2011,"1,410","1,386",,
,4/15/2011,"1,835","1,767",,
,4/16/2011,"2,305","2,212",,
,4/17/2011,"1,264","1,361",,
,4/18/2011,"1,260","1,233",,
,4/19/2011,"1,408","1,399",,
,4/20/2011,"1,474","1,441",,
,4/21/2011,"1,614","1,591",,
,4/22/2011,"1,940","1,860",,
,4/23/2011,"2,046","2,054",,
,4/24/2011,700,752,,
,4/25/2011,"1,272","1,262",,
,4/26/2011,"1,372","1,366",,
,4/27/2011,"1,647","1,633",,
,4/28/2011,"1,759","1,724",,
,4/29/2011,"2,029","1,945",,
,4/30/2011,"2,294","2,243",,
,5/1/2011,"1,372","1,481",,
,5/2/2011,"1,354","1,348",,
,5/3/2011,"1,258","1,239",,
,5/4/2011,"1,345","1,337",,
,5/5/2011,"1,468","1,439",,
,5/6/2011,"1,792","1,742",,
,5/7/2011,"2,219","2,171",,
,5/8/2011,"1,232","1,291",,
,5/9/2011,"1,175","1,166",,
,5/10/2011,"1,322","1,307",,
,5/11/2011,"1,389","1,359",,
,5/12/2011,"1,456","1,430",,
,5/13/2011,"1,869","1,799",,
,5/14/2011,"2,342","2,249",,
,5/15/2011,"1,057","1,177",,
,5/16/2011,"1,206","1,198",,
,5/17/2011,"1,260","1,242",,
,5/18/2011,"1,515","1,503",,
,5/19/2011,"1,644","1,606",,
,5/20/2011,"1,795","1,736",,
,5/21/2011,"2,133","2,001",,
