Garage entries-exits by garage,,,,,
Facility Name,Japan Center Garage,Off Street Parking ID,935,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,12/18/2012,424,418,,
,12/19/2012,442,445,,
,12/20/2012,426,426,,
,12/21/2012,402,403,,
,12/22/2012,129,131,,
,12/23/2012,86,95,,
,12/24/2012,233,231,,
,12/25/2012,68,73,,
,12/26/2012,345,335,,
,12/27/2012,373,375,,
,12/28/2012,343,336,,
,12/29/2012,109,118,,
,12/30/2012,91,95,,
,12/31/2012,256,259,,
,1/1/2013,74,71,,
,1/2/2013,354,350,,
,1/3/2013,388,390,,
,1/4/2013,379,370,,
,1/5/2013,120,121,,
,1/6/2013,96,106,,
,1/7/2013,415,408,,
,1/8/2013,444,452,,
,1/9/2013,441,434,,
,1/10/2013,447,451,,
,1/11/2013,420,418,,
,1/12/2013,120,126,,
,1/13/2013,96,99,,
,1/14/2013,406,396,,
,1/15/2013,445,441,,
,1/16/2013,454,452,,
,1/17/2013,450,450,,
,1/18/2013,410,409,,
,1/19/2013,124,124,,
,1/20/2013,91,94,,
,1/21/2013,133,130,,
,1/22/2013,438,434,,
,1/23/2013,438,436,,
,1/24/2013,421,421,,
,1/25/2013,404,398,,
,1/26/2013,118,121,,
,1/27/2013,99,101,,
,1/28/2013,411,404,,
,1/29/2013,425,423,,
,1/30/2013,426,424,,
,1/31/2013,416,418,,
,2/1/2013,404,401,,
,2/2/2013,126,128,,
,2/3/2013,90,97,,
,2/4/2013,392,394,,
,2/5/2013,413,412,,
,2/6/2013,410,404,,
,2/7/2013,423,428,,
,2/8/2013,373,369,,
,2/9/2013,112,114,,
,2/10/2013,104,102,,
,2/11/2013,385,378,,
,2/12/2013,406,406,,
,2/13/2013,419,421,,
,2/14/2013,427,424,,
,2/15/2013,386,386,,
,2/16/2013,124,127,,
,2/17/2013,90,92,,
,2/18/2013,125,118,,
,2/19/2013,387,382,,
,2/20/2013,419,419,,
,2/21/2013,409,408,,
,2/22/2013,366,367,,
,2/23/2013,130,131,,
,2/24/2013,101,101,,
,2/25/2013,401,387,,
,2/26/2013,405,407,,
,2/27/2013,406,406,,
,2/28/2013,442,437,,
,3/1/2013,406,409,,
,3/2/2013,122,115,,
,3/3/2013,89,97,,
,3/4/2013,386,380,,
,3/5/2013,413,407,,
,3/6/2013,425,421,,
,3/7/2013,425,429,,
,3/8/2013,390,384,,
,3/9/2013,119,119,,
,3/10/2013,85,97,,
,3/11/2013,381,375,,
,3/12/2013,408,401,,
,3/13/2013,411,409,,
,3/14/2013,413,408,,
,3/15/2013,398,398,,
,3/16/2013,123,126,,
,3/17/2013,107,109,,
,3/18/2013,386,383,,
,3/19/2013,427,424,,
,3/20/2013,422,420,,
,3/21/2013,413,417,,
,3/22/2013,387,390,,
,3/23/2013,119,123,,
,3/24/2013,117,120,,
,3/25/2013,381,374,,
,3/26/2013,401,395,,
,3/27/2013,409,403,,
,3/28/2013,401,403,,
,3/29/2013,357,356,,
,3/30/2013,113,117,,
,3/31/2013,102,101,,
,4/1/2013,382,380,,
,4/2/2013,390,391,,
,4/3/2013,400,395,,
,4/4/2013,395,400,,
,4/5/2013,374,369,,
,4/6/2013,121,127,,
,4/7/2013,101,101,,
,4/8/2013,405,403,,
,4/9/2013,410,406,,
,4/10/2013,416,413,,
,4/11/2013,417,421,,
,4/12/2013,383,378,,
,4/13/2013,128,131,,
,4/14/2013,112,118,,
,4/15/2013,403,396,,
,4/16/2013,416,414,,
,4/17/2013,422,423,,
,4/18/2013,420,420,,
,4/19/2013,397,393,,
,4/20/2013,130,127,,
,4/21/2013,125,131,,
,4/22/2013,393,395,,
,4/23/2013,407,407,,
,4/24/2013,407,402,,
,4/25/2013,417,421,,
,4/26/2013,382,375,,
,4/27/2013,122,124,,
,4/28/2013,102,99,,
,4/29/2013,376,371,,
,4/30/2013,396,393,,
,5/1/2013,406,403,,
,5/2/2013,399,408,,
,5/3/2013,366,358,,
,5/4/2013,114,121,,
,5/5/2013,87,85,,
,5/6/2013,393,384,,
,5/7/2013,402,402,,
,5/8/2013,405,402,,
,5/9/2013,403,401,,
,5/10/2013,367,362,,
,5/11/2013,113,118,,
,5/12/2013,85,92,,
,5/13/2013,381,376,,
,5/14/2013,406,405,,
,5/15/2013,411,407,,
,5/16/2013,382,382,,
,5/17/2013,377,385,,
,5/18/2013,119,125,,
,5/19/2013,98,93,,
,5/20/2013,375,374,,
,5/21/2013,369,372,,
,5/22/2013,411,403,,
,5/23/2013,390,392,,
,5/24/2013,374,366,,
,5/25/2013,128,137,,
,5/26/2013,83,88,,
,5/27/2013,96,88,,
,5/28/2013,404,397,,
,5/29/2013,392,389,,
,5/30/2013,408,410,,
,5/31/2013,385,384,,
Transient,4/1/2011,"1,306","1,219",,
,4/2/2011,"2,354","2,207",,
,4/3/2011,"1,346","1,424",,
